-4948916 3512880000
-19689073076/109561 222696167098658400/36264691
9086284 24529449600
22831905484/961 3392454809479680/29791
3113164 -1311932160
319051084 -5698331280000
18861839441644/8543929 17729251322069298816/24973904467
126014684261143436/59110738129 -14054507558068176502105600/14371416429089383
57663724/25 21050168832/125
2312756 54491192
