1403293505635376/5041 -34432495246740400062080/357911
166453410784 -4851372756663600
175017667504 13463232470265600
-2058078729824/9 -2797961855852976560/27
171401430352 10270521306510432
22301618773240/9 104748630679928987576/27
98942844064 32282127454613520
70005766238893/324 265515349060017827749/5832
-302686261600 -8702306948346352
169221880657869/4 -2201285725843323124235/8
1727750387504 -2246139535946838400
9135682375504/81 17132311349638575200/729
129450190314807536/351649 36934588926254857723800640/208527857
237527042518544256/1297321 -29567065517249579226975760/1477648619
5970160613604639/28561 193371336081531516513220/4826809
-228211994496 -103823693241237200
