8020098232219252272 -131842972698724582633659853740
-18763347037961813376 -248399068225049759155918011804
18800625306599226540 -52976929982466774259655651400
27142185025181095440 -11649447403505643143679068340
27295214276666339772 -13487605856522193302147858760
31155238408440963156 -51703852952623879859189882544
109541769217403978482224 36255140434362785551951844868698196
54284682060285253719 -296608788103704334131896836704
-376800941041580300556/25 -30050596830839361658915521180528/125
-3463661055331841724647/144 -439033541433431622705096147976645/1728
-6684065934033506970637/169 -473072253153083526946608247801950/2197
-3824309544770561376792/2209 -19586614099724518446731476137155220/103823
-108269887188053457570312/2809 -32967809353299227494517928060377100/148877
-102155467428548796253236/3721 -57559698325731253672878506407252824/226981
-4105300047041036207577324/108241 -8007162353890562577365388616176636624/35611289
37405444922917925002509336/1366561 -22957996802262121104911924380126185636/1597509809
40403514543517731589358460/1423249 -42439726162014338758118553739018715400/1697936057
11499655868211022625340735/4380649 -1513435763317472408533064571035313526260/9168698357
441409014660324010071246936/21353641 -3693654664427502314499204785407249482804/98675175061
414280096426033094143668538257/71301136 266642138928289491798184923234554565238084065/602066792384
144406849162799312171720349744/4098432361 -23962070836889334087153864061726018125601764/262377541318859
45442463408503524215460183165/1356154276 -3716041579796679951240039912596366501682675/49941737367976
3935544053378802830714349930336/141566320009 -1012926545620983186877358306005355531187431508/53264752602346277
1124614335716851053281176544216033/38121781504 -37714203831098298463760045142758904364769916156975/7443201595092992
