592816689105968450598524 349422186533408339140833931161310400
-190203391184944174517116 -1021539246874137397631877837753531880
55538257076017879270145724 -413796804798980741400927842268826716800
126890666672868476608724 -769519730096880876360784033039647800
1785502476207204832859324 1968407635524234321307847711109680000
392103744401834485659324 515177745820623823880980731956080000
316367936979630362803324 588837710931947989138351349582152000
-2098021814627376052833131/4 -9436659310412156724440947104316149439/8
6028437629564883457314724 -14529592143906251861982317352143880200
60121900494621790696700661/4 464728258090941469057585710493179829585/8
-1360090031327548499527556 -482411089176660485219313038684512960
1065466344124010756682804 -661197396500697487354863690965217640
9565426426328642571392341/4 26506585838435455496807842907260718495/8
867427168763740705334380 409639228721781442218070366245203920
1263361458537381879730684 -978162247511560071124139275266729280
883863887433109064446884 -426326220360798732884616365363493880
864534762011508138350524 406811717559701983639431472834134400
1076712102818862576101016604/841 -24563097878471055262712757427180254755840/24389
23242777693088406392431118723156/4464769 -109328422059873533907505856803958276705128067000/9434056897
2929629843847374537092958244/961 147999721187318592713737044382619609539960/29791
333269877079779514677549142858192689/258515301136 134394482213273500127253923074352215823199618135719375/131440553770792384
32033434711799582350815122698843444/2985638881 5698852082503669281142615966789365563543914865809000/163138294096721
170969213028362222997303993436/466489 -172026349920458414010595880408504902272640000/318611987
10216100392602569898121986482674830311/11584949046889 16727511150245244371410827643239270888363083915365550350/39431308767577541963
65542682034420182915791432284/5041 16710550464625826898984388557199756043180000/357911
436004775513647445009675990546796/558046129 -4510778091159605377358635989961678915909535770000/13182723705367
