-95378864 50701175568
19412648 303435148336
45885832 14882046768
3152501680 176943631696560
44864161 30028319343
107290529 847632994031
1246940068/9 37500820070536/27
2412520912/49 2192480644752/343
2637660880/841 10801943559458640/24389
7178551312/169 131374537962192/2197
10980299044/1681 28680963808659336/68921
87451215976/2025 4669755219018224/91125
111608493544/49 37261752646667184/343
164426471368/11881 458856729869500656/1295029
175351396888/841 68355687236876496/24389
