5145430560631676 369090008880871473105372
-3837856094376541250426420/51627372077961 -3415745895988837303841552617900142636380/370953974774634858459
48199811870336 332169889020500990592
22164415126676 100885118237563529628
4988830604572220/289 333529335319771863754020/4913
11554591955256 34805860387225757368
6120175990344 9614841956270310760
122889359549544/25 625856269298506133272/125
1754244649310711264/395641 813766434473024071203003840/248858189
3779024584244 958074949986057540
1432445502137738039/398161 -11759039077983918429129750/251239591
1480038018593770244/410881 -33345172255899758054100300/263374721
3639896671796 -388230174344254788
17054488672172136/4489 -310385867235191780223400/300763
3952523041124 -1578419897049695700
4025644311155763224/755161 4299760818150942305686632120/656234909
