75070407215076 -401650788979206358400
40253444432996 30378191419543264000
57852963180196 -171835326522731854400
47382603613796 40618581139693932800
40720138783876 -23902423569100503200
111448265440356 957201859510814137600
46316503624356 -25986566674127873600
407114813047684/9 -82504286207900691200/27
46262188100772 25182672382227374144
47805240646876 46100472474605480200
50425796651956 78956426325372077200
8771759632452 -338968033593872922976
21818337108356 -225003281915497949600
117332211091076 1055412841555513469600
1887100717888356 -81912817601172991769600
302422190457156 5109626436269385796000
-770340150100796/9 4029487045968461147200/27
2249932607766804/49 6789669888924708962000/343
