-51755194318845100/561001 852240350317005577561920/420189749
-36661138744500364/664225 9021843968285021720630784/541343375
-33729586789156396/3916441 28601506405374086686301184/7750636739
-6472283058697804/112225 625741698448593563153856/37595375
-86253162605700/961 195556311719262373880/29791
-43241746612788/841 404413858187521373464/24389
-10489474375124/225 54952760903534518024/3375
-360635251052/9 419510712290779648/27
83811568401716/625 518999770591130564736/15625
400586332057300/729 7892010012657084554240/19683
662784128110820/2209 16139238659947687043760/103823
2376053578573460/17161 81235115198469343372800/2248091
5201795158895092/25281 329982477206499104938496/4019679
26143547665463988/1681 4227060449018684989317760/68921
