7595422931525988 492784035986353347900000
32081496359956904250052/5329 -5746201104323456873437179399800000/389017
9993310196382271908/529 -25704365164087767880766594400/12167
171127690947984584749572/7360369 -61501204746275834064659860314720000/19968681097
66779932410187835844/10609 -592435654270290590647323008448/1092727
143440331134737181691172/11648569 -35597558322117114400721151845280000/39756565997
1413237497134126756/1521 -60342011521175668168612908064/59319
916322920104431692379268/62710561 634121293035575378119415198069160000/496604932559
60727192333999861764/1849 439638762643747113382829095392/79507
995252965683039186527908/32729841 911853109973865655683977773010860000/187247420361
8084200257718788 492802190271149629723200
1109574075551341521479148/117961321 705181475066982393157002881506809000/1281177907381
106820854201721988 34646883865291714051944000
-12838060282425612 -1207020256140939052460400
52947596993303552271588/4239481 8048981427538638216712316469687360/8729091379
-7825178074650012 -1472827115955184464924000
-1882522308124397415458348/348680929 -9307630924933315412636605686728455600/6510918987217
255610433619536694028/152881 56761819315740851236765215694600/59776471
-85415831736537199068/6889 720024461354908501244100100800/571787
-10657099596382423484652/808201 842402048484066133602255894909360/726572699
-4004636205933024774419967/262569616 2917307896475004776052504961977533175/4254678057664
