35795487008757048/169 -3170333527743453277138856/2197
1326526629095525994244/6538249 -32386685110876945374589988482404/16718302693
734498777347765/4 -22176823323341010780225/8
729780904227973/4 -22541017934438356366041/8
24541525333748266947/151321 -208450735750339620268494528688/58863869
1551689956184101131676/2647129 37446978396366887617205065753932/4306878883
1091431564432432 31851741036831921884448
512748942934340776/225 356758689875990310481317976/3375
11302634123097384494524/2356225 -1193666846045133499648630950251268/3616805375
86893106847722329528/26569 -798622088096048955106208800344/4330747
-37851181387531319348/203401 970703191962498715903005688452/91733851
-64323977652976428/6889 4520999648076399739201045612/571787
7814165573101040068/38809 15387185110061677376515431996/7645373
117390910883342715/529 6804567461687839351706660/12167
116661336613060575126252892/521672508361 -59753797521148658673944816815964065068/376787880941391109
268755856434896019964/1216609 -932475496453091358408471312636/1341919727
429178190425260320840/677329 5940719303734622106610459484040/557441767
356093047137579045556/4669921 60460475418209974135872477917052/10091699281
1670598314370648 64758797524490167557976
