233784269863527076 -113037357704704475654601920
239220715430407804/9 -116983988556030355422695480/27
41268971140291161/16 -8243874952594802278075515/64
1232434296211647236/841 -1299969157614870607164639360/24389
2136555534033197/4 -64549601342214871317645/8
9791675480574687197124/27321529 19429206881397930884488108567680/142809632083
364134791977076 958722325152114148080
14316371669207072098468/34539129 703849931156650823305062946620704/202986461133
32160467776806652998276/45010681 4630430502287792894392523340423360/301976658829
1299614188175332 43908831216810071354752
1443417331808468 52023667682536055060880
-212858477113708 8859951599440953905712
25928720962860284/25 -3771228383101299563498952/125
2615685722695743050742804/5853321049 -2121562779221180269529914449661268880/447820033495843
4813879368741233848964/7198489 -259236690509314375129652512991040/19313545987
