4615849104791864 124720494883986801150000
368403105633087283423544/64625521 -94046663510412476373564338466000/519524563319
6627897597697310744/2809 -56390612959980302574559991184/148877
170853120603735380331/29929 -26149571908717416600006259400/5177717
8145296855553818600/361 21371905467950225577268602240/6859
208181701129684961503464/37834801 1842545710891592123250970152016000/232721860951
-1550483930589024796/1849 -52246442536953036471788142636/79507
467047729288473917927864/79192201 -25112055358957283265599121513733200/704731396699
14074532522497350424/1089 40836514643455499686054149904/35937
31286411645203881383804/5669161 37953115890543169523709205718700/13498272341
-20490957468046571416/1849 -15686077861203253937792521344/79507
144405377496334105632588056/24366273409 150672054070728388449941447582220679920/3803502180324673
5700705757986776 638281544969586812112
965240019509131038289496/123498769 -417177440802426536633091685348483920/1372441819897
14189296982509224 -1367391750163973746650880
7664215660192116620684456/196925089 20611192085242360530035787754161171840/2763449773937
2178933621645660040078616/336832609 -701578672258276332289168600065031440/6181888872977
736362060622007686424/72361 12996588709499844588769969007760/19465109
932242709135526584/121 -382997953732591405150553520/1331
