130964612645929377056/3025 -1784717389493834141102140953996/166375
862086698452795933460/24649 -54983593105143216776796657998784/3869893
2549250167644178572/81 -11362849498091123148750902632/729
-47625003677311520320/361 -132646309191881378943205953468/6859
-136152345735493381 -14482270681198081648775070
-111321192628064852049008/7134241 576797542593576236859905732378964612/19055557711
16510685288605760 21008861552875590218938932
24702719127109184 18130034712678984124536780
48189020089148372 8495945940396571456992192
1666743349820746332764/32761 42570146083974223670837602648200/5929741
599663252556303068432096/10220809 69634616621992594015922345744453340/32675926373
58759417448623559 2030968611910130847278220
948780631549399419678068/16024009 -91822381094921595745411590495633216/64144108027
38273897736314150297744/687241 2556164482474146679227427058161620/569722789
6903570674841034701164/177241 939024408214122020275807531864200/74618461
-35277008506980340471/256 48766026579514798075046243355/4096
-11010971054118822676/121 48004257896367177454561641480/1331
-74210532436712056 -37323729800805247930455780
-453006829354764750950599876/3304065361 2481220197119366208418847089278327324120/189920981015641
-30288007112654365004/729 -692725292229830586902975800000/19683
-1522104194216129140608844/11242609 584649880855835098271644126872339840/37696467977
-6015557990888086352442724/42784681 -1285647120708698819611248839307220680/279854598421
