41200807525726726164/25 -264425633670916783009323510912/125
269762355338409036 -139467766102145478036628776
105222310351176676 -33153199027167890342283664
5012100285294510324/1849 180568621543141345513222906848/79507
11592657674905126836/2401 228856396123421134225568049024/117649
8651645761996327341652/683929 298542580650856629040685069398720/565609283
3220025740387111156355508/214300321 114189531278371625518147790344656000/3137142399119
874099400533208835766452/57866449 8760254746421675655005641918344000/440190077543
413746590574015104767092/27279729 1217516405851795770655502387219200/142482024567
15189543095670948 6342621417365750312400
18685154510347948 773399373694684746172600
6554561924578115508779988/344436481 5450963935399892144249710882971549600/6392396650879
353471447113059268 209584499257485897936915920
130854842126134612/9 3749985419573640724317440/27
4395144525076629950845557748/20335045201 289313972042133501792867635105263246112000/2899797780707801
21977107134000574188988/1418481 108859554198696604079118497665400/1689410871
3270243381529146234291828/216119401 46731959233472454511591130466503520/3177171314101
198405690561913826895732/29997529 271162125117318208987412189370816480/164296466333
68992386923868417283835601012/6647182273369 16660998952506168553571551123135456122228000/17137851750569509597
