-12274690065852 -259741890935538696000
26861231097055908708/2524921 -539332972230329369741271456000/4012099469
380048293003875204/10609 78721115894935791336424512/1092727
-11686816984142690108/762129 179411211384652657602843660800/665338617
61139882692077316/1521 7057931907255575745807296/59319
3410184970014181188/7612081 4210456104573332948875224230400/21001731479
96406908260052324/1849 -20053306234203763492597248/79507
6148569576254729212/190969 -2496727656764193388269057800/83453453
35860763833611 -72447852286497030876
5463498609804947521188/30349081 -390791100154878325114939846209600/167193087229
17181621779167428/529 409885598554283261652480/12167
11637662430386668 -1255437130241703175770920
56141409605083514052/2879809 -309197911518493150563211700160/4887035873
946862578841988 29099523711191253546240
6976605445108067812/24649 -18179302724995892934274963520/3869893
23559244242468 19150025108667858720
3589684468669732/169 102596176830070474050560/2197
115469444788923846923332/663217009 -37885892713617754987562898981248000/17079827632777
23774226340603 -15358060641375719680
