18382831304901587784 -78816764494178558194245575040
109322263156392 487713719924205828768
78114406610736 7165791081611712360
577462907269768/9 6172147598715508219264/27
80859837138624 2690588207994089400
959149278214024/9 -11889143774429536316800/27
-157185872261496 -322494103824954459840
3905575201413379/81 -328242229396499038667410/729
72247900680072 -108753860320816171968
-76369704710221 1417375569358330783110
49103922161736 438418049158588786560
35264210649966344/529 -2337949498339172768944320/12167
73483163619384 -89817801719719185840
1398079081910411504136/11662225 -26830561385134378783188334564416/39826498375
186177192041697630912000/2381147209 -217957216870714621282410046107096/116192840357573
52730933901864730920/124609 -364735797263295337643948511264/43986977
3902300440344891/25 -169885592937757702938114/125
