-1147742324072 -1526961188128769638388
211877671257480 2215601945338738551452
30333943068800 1155308498934140843292
111785945250636 228699893798972827088
153299835902584 -952227901106896930516
21864360729868 -1262132537408362549072
3815255411096 1473130319160545535732
1613129292288 1497245737911011998052
-37318470804816 1859317768962505281716
82058096296976 419108255337406228308
-2671764267516 1543114574244564648184
37221137375463 1064989196220574961248
-1877435695465280/9 2284433630885924056396/27
129666699491596 503497294887229329232
-170603627811740 -1697700770950006981288
-663480184290155/4 -14153581450755373185559/8
912233584458400/9 5134092857960502648916/27
517091678959083 -11123125414414304065918
2346844940008 1489251406661968041532
-125988950295500 2096561475550527078808
