1248172967802687851288 28265157590300653299347509652304
-628578988153508974624 21551928038128325886435588533472
112104644538593630400568/9 37415817390529543085484925996700720/27
-83372197596954462448 13128625919500295908899768380640
1586607091296052184632 50131869828008553105366212225040
-938364526662166364488 13905421298494976185826721208560
-350076908446912971688 19853155693223591606749862176560
1291938339670784093197 31102836658516306461624455960715
243810257775795755039072 120385545307419606213596084696103840
1863878367181860229421 68700957803904118134454330715163
-371494943722705949608 20174026026572830629724944791760
7979897544490379581112 707345823020520031477676589004560
45892895553952793457293 9829156964648952943386185793868341
8928288191661955331852 838427957133567275589003713547360
1106331509072206249256 18679498384789430853593641955568
-224595025848065973464 17362614743473968731360257815792
2787667323598380495272 137815223556691390008352235385840
460757005192979468563969012166954512/866133619569 -312757087713822030830379561963919927313326192922317792/806078512788944247
12659227727980782749232576577333336072/13191362985688281 7399033811944599993501117766041274535247284940989920240/1515076306103463706270179
33100555368619198601980621018773992/16494978082801 5268167833329608563097031580182250809233547237323760/66992720480466064201
819147613500795440104255900751405004593/70700423301742144 -23358672183624154316993868332616937086464680129872380471895/18798925252433457870857728
428548477137685625066691987621224/743271169 -8871545565590794702966621888333762514828520487536/20263801880447
11364612815147506686468362544165318281049943312/977967557547240315052921 1207108499504113107772641436895179437704025341906130966383691311459040/967134046048985937930093462981412531
338970756552772033230008806776700064314102906952/12035627803015318158216121 -197229994899553225527732176006009396280519373657411716944858120865513360/41754484218811067129381142679906721581
1973303152923754858929609798904119649483495601704/1304346572046094160345676489 -2135389564095559125532444505331233321718653807542218846553206052917691696/47107439793279805115710159793275001243013
