-2564653131214416 -22325517568952116178400
313664873955755411146896/287743369 -13498366651940817173846435014753920/4880990768347
4228046497633042440/2809 283239216570592831946300280/148877
-138872367367721262576/93025 2626498289801673578408823658368/28372625
20744980718007567504/9025 58707304767916136735990126592/857375
98031678432766241102856/55457809 -11512902686525639005074329146657320/412994303623
2865238461074853216/1849 745106262301656430236331920/79507
2024790542260728159930768/689115001 -2189218401278100322381181060850006144/18089957891251
-259546525628678736/121 -97408289738037825584675040/1331
1822345911028879556454288/1089066001 -737047158597612141323060150886375936/35940267099001
-2892124121086590960/1849 7301492870908548641930065920/79507
10846627049630016/25 -5787308463626427352218864/125
47755713940132320 -10424614580856322902104400
6824993153565610080/6241 -750636301646689935478756560/493039
7633573950167907581520/14600041 -2334140287101980749148601798158400/55786756661
45481979596105853042184/42445225 1689052816445421241693492420849848/276530640875
281159231020254622676880/6105841 148906855159183355059887210019952640/15087533111
1078730122603320 5054644351582721321400
906114959184960 19882669510045871371440
