655020225090162888 208817581464237660456622080
-790291891771570232 -735432595574626970668327680
705993915461606728 -263812579664987736120017280
8556778915540587688 -24886205308636260476837869920
1299024048413617768 1178090625619435579072987680
1182680245027619448 975949887792517899320302320
894690614156343688 517523715055969570074409920
475950948664683448 167229686646713236248022320
-1068861455375421752 -241769207212287273295096320
503798331385531567 153341402574459783033845352
469512843290903368 -171216179095060869890440320
1781897675144450248 2104452545169858095132743680
390928182866698888 233907639192736069644982080
380307236591734408 -243558854063698245199807680
1057523252842829512 -768797927605463944694865408
-800186591341365272 728557371056861506677797280
2366697207887408968 -3393046144524958666487191680
567310209895873453768/961 4730988008176467415290263070720/29791
2638203567360533128 -4047167872004754781723158720
-622351303379312690744/21025 -1841858963300479555066592765896704/3048625
