3090673800 78318892601456
2731930080925856/143641 -138104201233508794151360/54439939
637632043525110753504/152277111529 -8621303315765100762537602389120/59422640400627083
150596914681/16 51336000912478035/64
2725609469864/49 4481330961801444400/343
11409762748 1114505357118576
75451530416/25 9698894708737664/125
21589661755144/23409 667153721579421671920/3581577
314430182280 176290414476867184
28772514445/9 2172923165525957/27
-349940612344/841 6416196287367847760/24389
69753708824/25 9900897962138768/125
4174898255896/441 7503999250278950000/9261
66914830428278552/165649 17308068120840779477411632/67419143
1562634976 144246074269440
