38347562897661548 -7475695447885349385971200
32516798692617324 -5827158305414564581232640
114553779613862860/9 -37288905096160548670321664/27
536685116887484076/49 -373150109798748634175516160/343
13024290864131532459780/18861649 8363825377430125022402098655576856/81916141607
785691784842348 96320786862104075980800
618098292242515495/289 35547462428776720529322306/4913
6060270761259801612/2809 1106218196929739496490164480/148877
41045411953636654028/17161 49642770180145522588537907200/2248091
8526007895786033103/3481 5477213404306864673969497470/205379
2103755033749430973183852/314104729 2659900273296619462896679675587735840/5566878112067
243480974239935859013100/5230369 119774322522549665725560210145069056/11961853903
43793410333100348 9132894646491368442146800
213898217029129324 98911365126925713997608960
3893172746884588 158930673219326192042880
16680196113206806319084532/12362548969 81711074007644679891802541195176660920/1374554732216203
632727575922309506765708/3682561 503182186848234444338152597549593440/7066834559
585054714307106860/9 -446792221253058015760725664/27
-329816384286170081204/677329 90056848022808769564460596513440/557441767
