471160/9 -83450008/27
5238308132/73441 251699682119132/19902511
7525386508/18769 645680122321796/2571353
10364480/961 128141219056/29791
-366467576/5625 -1732101125032/421875
148480 52819184
63640 -9097496
53220824/841 217797678584/24389
-231320/49 2941252952/343
137024 -46160656
71682508/1369 156934712204/50653
305109061/6084 216789397687/474552
