3661340737514878616 -6682747925831876638971917400
78643877593769816 -698743582047073254758625000
-1260389872066473184 566390152322111865039552000
5127435545699123816 11330102928078952223477895000
82230890132232809504/169 460047197738273063656218278400/2197
2238321163822166816 -2956667321979966207567552000
561773800691668256 53572921059001368323220480
809559588792305696 128608834423245942474581760
20671900076940685856/25 20761559357771181718325666304/125
566210633411914016 -31982359962258089885030400
1064502784444606016 585491164498558799360474400
813656306069570336 -137916342453486431689781760
783796600146657776 52835829521060638558743120
-35579811791644384 -802661664815810577387878400
5002136676367258144/9 -1995986684051959408966707200/27
6674562079314672416 16994048326628985703453939200
10458231338867504416 33617353066544626378498636800
4674529846003198496 -9814931180389848184984016640
1165570358911014176 -762567412652325806866129920
475494087069130496 226586214894178761285212640
