2981487812958764/2088025 96722877997928311653888/3017196125
54713021383488035032104985181699889979059662110366013940666182019494331667391038647864741199687132876/14457652134352958794905369674049988832093117077929101151625758849073337105116800933678788529 -9561808227896191928417406960926944096981260804160188706123049028440156865926777270312980281896523035656482088321256741284452212665347546330080231824000/54972647909337291989807510535705394550709521062627999406289624987258005582556345026256635323528597780150513343854976299856998375783801833
3360797562941964/1985281 61750067944440213977600/2797260929
61956341644884/32761 138218583534311527000/5929741
93950559956/49 8282449334554200/343
329223114476/169 55568893264554240/2197
1536762836876/289 1644664732907189760/4913
336417132356/49 178505069245799400/343
916404552378924/96721 26452428886205120957600/30080231
12705928844 -1394199714211200
-123600400436/81 108654826534092800/729
-8095650212284/6889 82585780030259415000/571787
606381644 77651351294400
4767952787276/5329 24055639701743779200/389017
