10038235050769704300 -3336710883046427160653004720
-12609224276463955620 63018561028024449536788756800
62772116111964343440 -479685804086960625011670772740
-62742183048281960180/9 1686273464073439053514480308400/27
10795722929841531180 4949035461599182052953062000
12223314864270639180 -12360800128808552821813062000
20704428556473727080 -67744832724908927786218689900
15138072327630340620 29961418695051471843326070960
13502411194738397580 19854019645350937993830920400
201017040110885532780 2839513262967491260401250599600
-570783866185395540 47618427211792501462719940080
-12885261288808073700 62624313919951372076005193280
10151015303377981980 3296929456755476538366427200
10374683265900459180 -3556177582428684015461802000
14612491820978757864 26658246869933046006709784340
67655401894191072780 -539376228512420618380334439600
91407152955412578142189035/34304449 -7216319708485906545088530317097739217370/200921157793
9274944718973638380 -5711590488823968468396817200
3419757374826200620/9 -1199868934926028516155152146000/27
9166062171990879180 6196136672536732797954858000
-6890302234596363220 -62348106242655695027970783600
-20063626238798778852 -13993804226515223141870819904
4830330257017414393500/49 330719201912027805062057684602560/343
