18744433501908/49 -5313335195982347008/343
524073705812 173370435280509376
2887938406959828/5329 -75774769058167405751168/389017
10778301436791444/2209 -1109784604412054077147648/103823
762746706445362036/2247001 -110435377281818741980557184/3368254499
59951062089140/169 -39366381319593688192/2197
96911162630596/225 -223225737364937945456/3375
15279641549127476/42025 -90644863570559555661824/8615125
310445927444 -61611703910625280
10552890678240436/26569 -130113492578644918424320/4330747
1084147961763940/289 -35206999658995948205968/4913
919333034630503540/2627641 -96024090008365123946292224/4259406061
16035175610211357/8836 1918003450491728278892059/830584
6208478918311092/17161 -26593254749489793025024/2248091
486327441169686772/961 -339150775953228681976605344/29791
