723698262183124/9 13373217078702040124488/27
41139634002225140060/410881 208584671406924663878292302400/263374721
160986679167260 1865734486444623110400
514132005303891 11549195604926274140076
84742450772970756035551910337484452589747790870927494958280083540/2524569318675605296695535444677789292312457112610609 -9371524537268187778332963437214676918693814272312022002952921573652779699954959971459662499573000/126847218897865816141849568219423507297152748944460370808877990001887354823977
26521916601702961940/961 136585905061367286912742601400/29791
3929415759266620 -246274667174791538492000
1467689550961916 -56161552980298528246176
20304870507193759020/44521 -90420057249009206916367170000/9393931
17019642062354940/361 -322457958702731147049600/6859
4144732532099831260/89401 -895441342725817996093770400/26730899
10075446183605245340/214369 4433814782905259342087481600/99252847
1223980713913924/25 9182026655536409091032/125
49817447399540 85076697477868727400
26708808118562021260/316969 98354828014025310208989785200/178453547
989700108686620 31055446295004908000000
