-1432247098254376 20644948390354317504912
5083745219420269164824/7295401 -62912007330194558549380247518512/19704878101
18084643464158617/16 -1221223571802293490760931/64
178684421769464212113536/256608361 -13215349949930020264767423592436544/4110609334859
240487114007753948256/225625 -1669732775663435451866649036096/107171875
32825571246675189296/2486929 -114840831726379397038524801796896/3921887033
3385889774120491312/4489 -348313769407536891740300960/300763
110271074117235741785/4096 1156596855050453611112189753763/262144
2793545963849484920/3721 -274802035911677821371742512/226981
4133176829822336685/1369 -7709234604883511151711473319/50653
-1182746597727648 -35735067866780340120384
2102813550037012922916/2961841 -13402575024481648623335458418976/5097328361
20995112918406102584/24649 17773966478166045058680322512/3869893
50780922464297553520/116281 569445805031577338955165043808/39651821
-193996925847867 34777407506092937774235
20366732029320853261/22201 25919667425597575705778700841/3307949
46906199239441718883192/39551521 5514990735618195247816018250506896/248739515569
545113572149912496/625 87273889847927342474528544/15625
36726544796248118776/46225 19789079460425389697342549776/9938375
92543074519818800/121 1519855791152833882487712/1331
1484955683445314171734127456/1863123991369 5322170664744463445669553126216895043136/2543095312631004347
