5247848027026860496/9 12021760120976036603789649760/27
6491859103395057160/81 16533069320299165207384972168/729
-19669920121613056070907826933423786743608485995056284093165195832849207531360/10137629720201167183462711313444381972247915400623003553026601 3183754226140270801501716038107597509496202244341852366257476771827096964394941513096263515568411317087192368256272/32277852797711247674557252881456441767681987583475777837689763486955085290067872583777531349
8745198868713993264/841 25199661529865234641964978880/24389
21543146691997293/4 2877874330018321985290149/8
102643917273530692191856/62520649 -2164932287249149268306900249984640/494350771643
118169020793164593031120/69839449 -6839077066031758535870325457696416/583648275293
146451666307896157326256/79798489 -17712047986124878253828698779101760/712839902237
2156990403507952 -50456278782677755596672
2246474940725344 -57548117047742916898320
116204088768878265469072/57623281 17229226097017540608388288052121888/437418326071
12376352452272191337201904/664041361 43181706951903800830265439909766089600/17111681831609
