117713031102861184/235225 -38623229775717844480744248/114084125
1554907333264124568/13256881 724427877341235727093980000/48268303721
7911228532252973/64516 295808316100936922898125/16387064
486112567493088/3721 5159491218546679287000/226981
49640307847008/361 184063896564779049000/6859
140814776208 28842065948286360
188748504928 59987555894715000
339429643008 179768812301846040
436119305428 271678427171326500
4280035101728 8848845929278220600
4850228435152/9 -10276892191296294200/27
151567324728 -35498291326461600
135844174428 -25833268342303500
113912452928 -13112905556569000
