63192116290665108607407684268142250439123958144740350963601066840042864685358092618738248333101962820931788290736636068002085134915296136/735125759957027748778807793173877594323408010960462792326982963885113651618997683907338968728997374637655083677746016904001 750530607492742055156137419542424127693012983387599564987646101410869674429326857853549000553557330720817821789125585198992142209543730341143399983625380085298745191188519648582640337126345607912688280000000/19931613730294636815061341098912517581344220564668038395034724467819789428110134322325837588329250116891863179290319444526055291384746292391811952162485341487891508378457752930518643999
2027849891307136 -56896884418584237885000
2894112963696136 -127401394867410295632000
3250094685792136 -158513223400460248320000
-710277491423864 61089442090092142272000
-1677855636047864 51136127873908786800000
-1996320632897864 -21249879378124556250000
-1958681000607864 -27690886779646970880000
-645140394335864 -60025617092975091264000
2304107980128136 78761003468849974272000
2276819506755976 76585987001187605061120
1750267162752136 34526137150417096800000
1534955025312136 13019701171490445120000
1522227455469448 11091485909427458476032
1494763499040136 5265416544174236736000
