573315335054808736 58922120311181142006700800
846726725163538336 310170652890753975884928000
-347396058084474464 933007533761403813292070400
2629471913222581024/9 11297280188186320051687600000/27
669363008308442656 -21328161646098854276096640
667438457425665952 13012854583259011598208000
587145071271250336 -30932334735992447494464000
805876573705349536 -247394300631550306727001600
1155302067261358336 814471756686058968864612000
588153640444498336 -28276576454791313183808000
566198088923904736 -70876948103261833993387200
-928696353033229664 896829554189200840869024000
462610454207352736 -214431030342751080062131200
592999040381796256 -9709940956951895704611840
14690721547815397024/9 45994736857112393126464576000/27
593345883596446552 6855157472014078543756440
308471776083882211744/529 -489645538214407466904786816000/12167
818809902760978336 -267195366842213844058752000
677413798771474336 42558083680902279025536000
54715843330913186656/121 -303094569146596813219227048000/1331
