-382111858629556 2541241090571711207680
20066144157004 3685973309980623101440
-102748357308916 -5230351759131576545600
161461642041164 -822152498841353405440
28028408537731404 -4692068702316845029706240
1947117120305484 -84630987043849732595200
163407244430284 771027782508808988800
4168591310528956/9 -207952091219506350158000/27
-4188337431476 -4063683159818833957120
151772491803724 -1065501978485046206720
1600929650705484 62653062645212074604800
242004038171724 944784424507032129280
13968180525317964 1650350938388838801955840
-393154192192596 -1678174503359117198240
177478575431284 344411252390568654200
36974866007728364/121 -3659608117816999163379200/1331
17657840956858036/9 -2311769719810472582066120/27
520262773860684 9688438908110280281600
