2662691869144 3176986415904517632
2113223627224 -1824258459610050048
6484259049432 -15660093573076286464
567252187224 -1265817719336589952
-1799804528488 2667819878352309824
-1237574663720 -2883372726199460352
1443621288312 400507519935219424
-2368687749160 -1558165180613297152
-2542859107352 351545993187189840
-678820282408 -2678685740834518016
3768705595352 6273444701088388096
-346763733928 -2414402492051536256
5172260397400 10833423493136506752
65205199533336/25 -379622966893440015616/125
-6060268325000/9 72228226760030257696/27
6495117666904 15702153222547539072
33579547507056/25 -31688017996979432504/125
8826967682491736/9025 -510657653967356624633216/857375
