-96774035621202363946278080 1002624616893513925152405333627874248960
29267868622221507708155360 -541204982313493435869370801734410287200
12120580972368730293134691712/9 1329769255550192643522009783414045852983872/27
-32233927150770157804117952 -1018034988960992713484327768296222854144
-533426495776663557390680960/9 29752194854991183542710500476693759636800/27
-109745160849980919876802240 871179414337391348371379579884325241600
88571214923200825621712960 435058034135948469086042354133922636800
-87391661928290472722769760 -1059137373185817931147475176104225575520
90212235831568161823284826400 -27095540709431745094543277937832078089188640
4998498680825592264408679360 353302841928192487296278862831997681948800
1052065651139606848955293760 -33932284662924698109485449884364519142400
73657215651272161588989440 297592825074617075095281785195639632320
2079380449883539450593836840 -94680542322926697054196397814491981083080
56398976758383860961014435 -305625125424260225322522474005072485650
-44436853419085248568489240 1068307563051221215643297331005723435400
70134940075201113723031760 -282603515165391152062543998286275555600
375346653373279625769623360 -6973902351154161372122767758992558764800
23813747602959934998828390560 -3674824780040297801679664089790693108437600
103701837505651403844727760 -642139089714803822442708991093781871600
1787080597873826348631073689492518240/14641242001 -1658300402834118927116623220310292546786697029359767520/1771604923363001
730839458775400738193617327232/5929 -436682017063766298493434686916921388054218432/456533
