3955709318445564 92245058807671962343872
2727703058608200 12547723457135884144344
3929918791722428 89468844795689299727808
2661261050736636 22566943744158894657984
3264535325799420 10831693770016264184256
82289119282506996/25 2003117864518109793956256/125
2725821282165817956/841 70185330935802665982858816/24389
32307203412720456 5735830960589718633700824
29341123886790964/9 264446526005558873864992/27
1831828805548907604/529 468176472914389174341605088/12167
511425523380789840084/625 11565511304166874845384196587552/15625
1741850963063673072612/157609 65754019087755682400875752376896/62570773
3247074879285662884932/18769 184945671592524504050092139506176/2571353
299475331388281185601/86436 983394088087157723809198920329/25412184
3239293307633412 0
