1053895591096 790685827786394144
6777625171128 17524676998066468320
431152255533200736/16129 282977625857600472037460352/2048383
708310182578200440/1026169 136363998709350417933636192/1039509197
-1639635743607469365726751176/2994256621479601 92643676723727418970128087708816728683296/163845126470296092279401
6318338595346081/2025 -486498513485524345029521/91125
23415259236569176/34969 280612394647907325592672/6539203
1266374542200 -1161445265926792416
48555551049570480/63001 4859332803987089231929824/15813251
728899886196 -225310585710378456
103158683672322535344/5058001 -1046950851715250903060395101984/11375444249
252667819375044713944/375623161 -461082554708961685428404390816/7279952483341
1725802889975904/961 -65060686629543384301824/29791
667137117769 -11108990118817691
1042038568586112984/1428025 -387388777487571023287904352/1706489875
4976960921906351736/3545689 -9431262118445880001412499552/6676532387
