30967712497984/345030625 70588513584161106852/6408943859375
530210460/3481 -6666159241668/205379
6502671260/63001 153048921787708/15813251
62288318172/398161 8791861561920204/251239591
419003945245/8520561 -674555709283098553/24871517559
724830979744/4566769 355360097841098628/9759185353
173560 45935292
937218533/5329 -18462204665123/389017
1705643340/19321 -30683015342052/2685619
388386516/6889 13765808789196/571787
2238076/25 -1384479876/125
3137912616/14641 -131415546868764/1771561
-3863676/25 6894361932/125
