-79907417143961248 44226117785769353723278080
847702325677726496 770536574340732060468559680
55596379275617248 -4851461985801456883498368
187772880975974936 -62626073990868289708266600
-31511462806977904 38744113244303043990438480
-20953716218476064 -36324778915596095006409600
107528450985637568 -9642030147780398406930528
-19848581017488064 36049226354817010300274400
114348630657560696 14603802491947760043273720
34542217405418336 17295535655412308519097600
318052573180872416 164198365346833963623354240
45648809845665731 11779135556661192215214810
1140087496309472864/25 1475525850063836424808211712/125
19487761885867616 23575213721290343780828160
105087344845445576 -7569782161909039990564920
475195197651835456 -314737634380713510269852640
1191740094365542624/9 -709878605807312986924937600/27
4784133315652876496/121 19890917743590598276478371920/1331
241569020939456096 -101785742665708589392020480
-106781319868773664 42037438037140789921641600
