757951480688 -456460636430559456
1415211930764 -1517302354054419684
355325104871 68579087893358346
384815122568 -55989245412609624
367118176436 62006796439186284
-439722071184 -493884659886892256
7802485323704 -21714240390987735576
964473574724 757762534648783044
1752467342216 -2166399893261669544
1941588957644 -2557880317217721636
16230571635056/49 -29439989605213407648/343
2234643080588 -3200990631408681444
47635163100 320617304072896012
70449696131 304048169383036824
49096015897064/121 -75658641615441124776/1331
310042114371 103281780772231904
2187372836816/25 -36411737677350925536/125
4134696443764/9 2486561765585899708/27
29411087349764/169 -487708336446383132172/2197
