163354214047069280 -2702770718658192846253774080
-3236075473480059040 359241603003141234204441600
1520496651063035360 386831106021225577539312000
2782598304721576160 2874085946232775323840835200
1465701651189758360 -462361338085430361535425000
1514850940083643904 393697686200270013080906400
1674953439826072160 -345674207708504663196499200
1455172272962507360 -478704443649253773191136000
-141421509207996640 -3113376558452891263040040000
4413908363192219360 7738764574641112620928944000
7413602714012828360 -18915108090262956757077165000
654244977958850417480/289 -7601985919588899752462756833080/4913
3140127058163831360 -3855915862140527791361652000
1300166497799763488 -750917681640692396255457984
151494284945809257560/121 1119183978115626546864814749000/1331
4933239588345764765/4 -7008159676432957451310779475/8
6835401368214606560 -16559930885746255940522908800
448205137930965728 -2269782686226233355190805376
-3145273336219746640 1479461140775078047543710000
170856900125733156560/121 731672057118923011284690510000/1331
