89516216956637444 -26780252110780049794949568
14586921927153692 -1756105979350558068272376
551689812075691714436/46225 -12896465056914681174374495778816/9938375
52840566133789996/9 -11915800007152278674100664/27
-82580564390211292/1849 2110714820905599297846067968/79507
232404425887165844/2401 2648620610336193150694644432/117649
5665565873962276/9 67284921466427629069504/27
16969188715336820288068/25411681 107852285818313759931424952860544/128100283921
2686808745548745585959/3964081 3734208623667434933365559766258/7892485271
7553657626445724348356/10975969 14192788133317595177013454059264/36363385297
695982217887300 625169973644150425344
25095094334930036/25 1943805659278248279891216/125
438624241553566432050500/424813321 149293131850894882364910526090522464/8755827359131
12151070499586896500/24649 32046019019621589649554265392/3869893
2364655622947500359332/4076361 38117195926169349585427885837504/8230172859
133285456902976341900420/25694761 47486365965887488703871191945953056/130246743509
609726847504580 3353160182312872020096
-75536487613842984167/173056 2465361148790390734985939615491/71991296
-28275776569618925308/196249 2522239367744072369713003480608/86938307
