63289521267694191314320 1213144482056230887113509681524480
-91265635515161513219600 4606625841097737432292872578786400
14010390349274428040158000/9 52370321714548118454156656965340516000/27
-51390557573229476697200 -19469456618026477715227451880748800
149472619479180342910768 50112036519382694256423391981682784
-32588129607830790125072 -18826819914824160650783267769615456
29259455929613585284240 -746012457628830172716226706088960
63512735236664319374400 -1634301315498302357861677356519600
25106731715269707816290224 -125800675072994742236520061671925025760
68421941023435545647200 -5827918216913518923209703469006800
13866258878606547950608 -9005629170199938587600380546325376
765274497683651891795920 665757683757691191173714350039490880
4354196413163080357863400 -9084183019875965436274932179538180600
748748481806784583411555 644151500019838841279362080176826630
63063112029391295258200 524079869772930773822862220804200
28110726822852876542400 -2324136222315747338032147880151600
216419357828241115705360 -94130493664479811156504499414355840
31183769250322210735896816400/1129969 -3320259481828059090161273468034919664515200/1201157047
7423181300016278736745600/49 17606944154945944003386051854391922800/343
14233394878291621367037696592/214369 442720789751187869820145905967203947139648/99252847
1124939783631397150741848478974625/82697655184 216284368675980249044944452699526783412922487529625/23781530096573248
357805967957512958460505193065/12222016 -29920995893502922369991810955816047806577835/42728167936
41394951348493779546478624585390960/7375889689 -8421223057527507813316520026309266926767706778101280/633463534160387
186808319488680722760593214790000/2900576449 432027758032667250986220184168080075403532628000/156216345813793
5654320077321690108631172995/9409 -421392451679342449270302150734936021783490/912673
