16260309826992 16777544167579586400
7766888695679819224/413449 -9626929027539628546991848/265847707
20150368859030312/2809 -11288391602047797571487592/148877
18466597988685332924/982081 -658943777235188633820888420/973242271
26167583537642948/361 3872119315328909585834364/6859
343464511538766988364/18774889 98840652173960692005037229532/81351594037
-8022702893448124/1849 -10428705820066032390189660/79507
84745630767689311016/4414201 -41245205244180056361634162536/9274236301
5193517740806704/121 290028703230270528031520/1331
2524260843981244951/137641 23462739487000322235789754/51064811
-67973580140334268/1849 -2680108215432788432900772/79507
26604294920085664771592/1369074001 319064629375693407853141772820120/50657107111001
24163760952178331570708/491553241 -3096887014462670420299807096068396/10898226906211
609065318079564284/289 -475275615624880154278048668/4913
102467647230785879/4489 -9907225833692907182136882/300763
11178245908370903300084/554084521 157238961515881452976357482755220/13042595539819
152551381427888 -1845316007451880100064
19629985507259 7839026193685181400
1530258356814355135432/2217121 -59797588211017349936891973785240/3301293169
