829945031868/49 -442338164485771840/343
21899735896108/1089 -52985523920331696400/35937
13943689770001628/683929 -852848925042070433917440/565609283
6793588987388/289 -9914441336088125760/4913
25074014732 -2341396881560880
27544902140 -2909458769418432
908160762236/25 -659721138892399584/125
52840931052 -10633724280779600
2533604931593372/44521 -113620749977731987710720/9393931
548245394508 -405366320963565808
1289963501372 1464716665370649600
341835487292 199142757130187520
79270968140 20991598291368432
74950178492 19165470713182080
