-15631379015/24964 -2369204678362285/3944312
16209422228/3481 -2030970920616304/205379
5262768921/49 381775442683333/343
-222001919/441 5789112700393/9261
5573284 13010695696
-38783196536622956/91418546025 17156124822513108949289072/27640854483388875
22449552244/15625 2826240503944528/1953125
721656 -127512928
35658971348/39601 -3880011424593424/7880599
294698394356/167281 -142904701801250992/68417929
34408221678887385/333993838084 -56224932570097492293210595/193022386893181448
3161684 5431098896
1349373568648/142129 1561368086742732176/53582633
98575401 -978671293277
