17478175618201308 1498138733723685027084000
4780975209157490780080068/1661521 10453638130502430957107331811272035400/2141700569
51868517924568494772/2809 254686693603976765500522896600/148877
355496753680827855503208/2307361 210766296674148654560396485334939100/3504881359
-2964311795730168816/361 12820295579088484922206356156/6859
2615045618451570602139672/333172009 1559141180276133483288709355325548700/6081388680277
-455173509052107888/1849 -107636623024197027554252507100/79507
-31399821587866437298092/1940449 3847480971443035011573998878302264/2703045457
1467190924454257148/121 -558406479337545141185858400/1331
12972338401811965187667/1229881 99767529440186435398898685777078/1363938029
19870709079186272592/1849 10580662226566131370009043100/79507
55164010626126588 12421574018465161689506400
17491955483913086936256/93025 -2304631023097134216005356947764796/28372625
9814096446217388094700212/70845889 -30531817827954845990716063682635237800/596309847713
39499999170750902386553352/42799748161 -10875313945578422731622676306767069809788/8854454699295841
5640126141438553812957/708964 141353626222111181203815362324925/596947688
1443297200752690707855927186132/1465850182729 -1733691315997264705040621310595500712474067400/1774738530784203067
2685496172196408 -1018379284748696543201100
6002883794910184009332/966289 -499879888179688737552644368248600/949862087
