37098012307789796 8142126383570471649338400
-96394941245532384 2135383599938838852565860
14455897268268982924/9 54893708149320980209117516760/27
-10870174054095716296/169 45106118588450013487371767820/2197
1252805083822500364/9 1218171701573421143592800600/27
-10218785585488404 18107132454990123106294200
49992936754398948 7395590074470395147536992
142944959157893709/4 66886794453495607371038475/8
24269389030806128736 119559977538230613832357210020
86198187819240749/4 90625215385410538677107835/8
35220284005690596 8448437962770345967567200
713235581781410556 598631046298971211372147080
16209582297165114477/4 65248556079511856239938388251/8
658646818598093376 530684295021002099951975940
42565172265197316 7490736251479601121491040
44047238054643276 7390856797179271601201640
183609207474594588 72345033150839516867523672
899489535561882546165847733028/4147654023241 -802376748002088441259282560170086564503611232/8447025082998132539
1211599629997452215147832/8602489 -1162082987119115669619574850628948564/25231100237
11613602567920292544134670684/28583650489 -1228652218956770996897719755414947575770840/4832552037223763
1359995086547109580656996/16900321 -1095869506940580189611407215558300960/69477219631
1169921087079133936966968923277819/950031252920929 39931346324342419268651874852780351682297348724610/29282411445561809014033
