2993745935039435800/1292769 4583529344058254285193940400/1469878353
9829416670120/9 15209368284321632960/27
30790966696450524878687934214347183961967930886764200/4465699153336949642146517980276998344881 5327532390538395067552402657781867816355069378295683998539637247198359604547200/298424306328637837741207543379156123419682943920779636615529
405016565800 202726813683542400
2217626816617580200/5193841 1748578479267007719527011200/11836763639
361410691519480/841 3403967705683358175120/24389
439746668200 105696776277523200
606701606153755/1369 4639409000901427767210/50653
449193098200 59765861941606800
576893220977734120/1274641 43063748635096744484656320/1439069689
54229697405800/121 -88048796260012358400/1331
310258163735132200/734449 -100914874068041915200300800/629422793
1126143904425925/1156 12671210834953211340975/39304
1388261876008 1129788862107163776
5884664457358120 -451421820606563835073920
