5303021236726338252 -12211949191558192926782370900
59247602273894672 -14405478741069107988175880
13916471989803923232/961 -51005526303670172441522339640/29791
507055981524107630252/63001 -10800424478916751591220583251900/15813251
1490619197399677172/961 44396403983639956782186100/29791
729475009555529808/529 -191277849961725416231953800/12167
88766880256533893128/71289 -469508242789240999361358140800/19034163
154942389610932 -85210853923281826559820
131393133290805759695828/21003889 43483173581168826079842200427893300/96260823287
6431358962608140 473162357123396801284116
11151614576059892 1143468174908719569193460
13580580892405472 1551226359331734091625080
46678484992606296753/2704 314942377420273959014865217935/140608
7796853309458321021670622877/154192870276 687422880158633983194157497261276759452725/60547531142758024
392551480031000935346480592/10730680921 -7755362376473793986354141535365135136600/1111580505925469
178835402397061652 75618338384649415235048300
37207697044429125960768/24275329 -474759026754974921294648481010920/119604545983
1426384242612372 -12406626629260957308180
108770777993277087435006732/10532711641 -1096277094914621174927328572493934956900/1080961663004189
