39265564027664 1987039542300660500400
199235268409642457669/1311025 58876056378278483695246370097/1501123625
282528431679189596/2809 -139791975847081625755710960/148877
909038246196301718384/5997601 -173680700159799930879942133680/14688124849
244364365883499704/361 113164829638913161098981600/6859
5201292973290117135704/36060025 -858028767919292157198809877792/216540450125
111924200495511536/1849 -130981747694908399640156400/79507
374646003569732025101/1968409 -2574880931727838137792294668475/2761677827
35276354783717584/121 4632277398198851153395440/1331
1456869058393897713164/10118761 -959494370222583714046436979840/32187778741
-535578803731612744/1849 -85989763335302908407094560/79507
41537643468863150282252/256608361 1187611597748235299333546634923904/4110609334859
10424069249478167372696/8334769 -1043510796614052676473710683955040/24062478103
8821588069133816/49 -238977982997837955396960/343
9238052094861722342936/37295449 -529634434397286813348240667101600/227763307043
17522771658514645976/18769 -70837753325488159809876749280/2571353
5184043708388824 372805400570077552328160
42275697018693531608/2809 -274836023528427491887134699552/148877
207459701841552536/289 -89151241133452108957526880/4913
