1776905847396039956 -2368527593291246400183961336
285316058376951015 -152158536453385416480612450
119948689485761235 -41178103053207456132297900
-10402266965886020140/1849 137199541283611967601743793400/79507
-4191024536905159140/2401 171356770457433267393858849600/117649
26427267453797271689660/3087049 781579926982887752534243070771200/5423945093
617325279411467980886460/67683529 33376520118386284817451735905280000/556832393083
6743574421271501329188380/683142769 1565479772031751745839828570225049600/17855302553353
10557533957911004 201395685076584074073088
21895099025133020 2520583249309030358835200
127317766938393294686364/5564881 36122727434441850426778864310227968/13127554279
127215864185231058780/2209 1382802642025802160264521011200/103823
283050143103471417318925260/2761817809 4705283266261359403543710489099073724400/145141811316377
20184050571157991260/2209 6003014376558323313612134400/103823
87764802266823290940/3481 681288581593135873981157352000/205379
50082083790669516033141660/19737159121 2782776475521153449552203184840367340800/2772853747750169
917561252862045660 878789080719929955803136000
57558101713264020 13307324697370543538407800
2238547281992515811180060/78961 -3349263651069312653913034779840204800/22188041
1595807023441903660590140/1388382121 60340593021234133230851952111673894400/51732506210581
