4247328612 1112134126170604
-8278327284 770001148805828
9292339236 1400925498716012
9750905532 1444762610207716
12388901676 1749780129109892
30479832756 5429235841694348
53975762532 12586194307170284
60980382276 15097095718130092
6376192377 1191407043318539
71379296676 19100733572425108
23793378964/9 29313331289250236/27
29087277244/9 29502732606667444/27
-44945437196/9 27477398615785604/27
124561098268/9 52710767421762572/27
-26120241831/4 7512202525369379/8
-4743570924/25 134641568344127324/125
