34996123111210656/2809 -467992106316996289468440/148877
9742749700101321/784 -44195867317565423350605/21952
1038299445923468276397892282148424/237194965171458606481 -75103855128597959309424588651843201044182596701520/3653071725230170493074349772871
21468915775596504/1681 -583478452528435340997120/68921
22188976526794452744/1692601 -26682029674969629557124768240/2202073901
1317180703654606656/94249 -564786015069702472929562680/28934443
3787001876811322271640/247464361 -114390789939680106450183099276672/3892861862891
22196650584696645/1444 -1639370664244526195997729/54872
1248938754574142376/69169 -890395823035391733556686960/18191447
5659830869861976/289 -294464734251092192336640/4913
37006017292704 -204647660259430195080
45938210681459 -292653832318701183330
9717936649557091392/11881 -30288015484201363138680758328/1295029
16126441347564590808/5329 64759156740764250102507020544/389017
553595217015260446176/6436369 12792765592345771680901577283960/16329068153
2484714186234408/49 117702173182498281687024/343
